count,domain,schema,table_name,table_key
239623,finaid,faismgr,rbbabud,none
11953,finaid,faismgr,rbrmixd,none
149,finaid,faismgr,rbrpbcp,none
72,finaid,faismgr,rbrpbgp,none
12,finaid,faismgr,rbrpbtp,none
2,finaid,faismgr,rcrimp1,none
209754,finaid,faismgr,rercded,none
70450,finaid,faismgr,rercoda,none
116622,finaid,faismgr,rercods,none
80074,finaid,faismgr,rercsid,none
26942,finaid,faismgr,rfraspc,none
2221,finaid,faismgr,rfrbase,none
400,finaid,faismgr,rfrmesg,none
1534,finaid,faismgr,rftaspc,none
146102,finaid,faismgr,rhrcomm,none
15001,finaid,faismgr,rlrcbid,none
14859,finaid,faismgr,rlrdbor,none
40,finaid,faismgr,rlrdfee,none
189473,finaid,faismgr,rlrdlbn,none
483360,finaid,faismgr,rlrdldb,none
209284,finaid,faismgr,rlrdlor,none
482535,finaid,faismgr,rlrdlps,none
166681,finaid,faismgr,rlrdmpn,none
209397,finaid,faismgr,rlrdmpr,none
39640,finaid,faismgr,rlrpapp,none
49794,finaid,faismgr,rlrplus,none
16691,finaid,faismgr,rnrovrd,none
65,finaid,faismgr,robbbay,none
57,finaid,faismgr,robinst,none
240575,finaid,faismgr,robnyud,none
380,finaid,faismgr,robprds,none
28,finaid,faismgr,roraudt,none
235035,finaid,faismgr,rorhold,none
263403,finaid,faismgr,rormesg,none
19116,finaid,faismgr,rormval,none
1,finaid,faismgr,rornyvd,none
380,finaid,faismgr,rorprds,none
9,finaid,faismgr,rorsect,none
1949,finaid,faismgr,rortprd,none
34,finaid,faismgr,roruser,none
660,finaid,faismgr,rpblprd,none
36,finaid,faismgr,rpbopts,none
115153,finaid,faismgr,rprarsc,none
584,finaid,faismgr,rprcipc,none
1,finaid,faismgr,rprexpt,none
22059,finaid,faismgr,rprladb,none
8903,finaid,faismgr,rprlapp,none
21640,finaid,faismgr,rprlatr,none
1387,finaid,faismgr,rprldsb,none
617,finaid,faismgr,rprtats,none
3,finaid,faismgr,rptawrd,none
262,finaid,faismgr,rptuapp,none
25,finaid,faismgr,rrrtmsg,none
34,finaid,faismgr,rtvabrc,none
141,finaid,faismgr,rtvaprd,none
12,finaid,faismgr,rtvawst,none
3,finaid,faismgr,rtvbbtp,none
173,finaid,faismgr,rtvbgrp,none
2,finaid,faismgr,rtvbtyp,none
3,finaid,faismgr,rtvccom,none
512,finaid,faismgr,rtvcdnt,none
80,finaid,faismgr,rtvcdst,none
47,finaid,faismgr,rtvcint,none
30,finaid,faismgr,rtvcomp,none
3,finaid,faismgr,rtvdlbt,none
2,finaid,faismgr,rtvenrr,none
7,finaid,faismgr,rtvfsrc,none
10,finaid,faismgr,rtvftyp,none
710,finaid,faismgr,rtvhold,none
8630,finaid,faismgr,rtvicmt,none
18,finaid,faismgr,rtvinfc,none
3,finaid,faismgr,rtvlnst,none
314,finaid,faismgr,rtvmesg,none
27,finaid,faismgr,rtvpbcp,none
12,finaid,faismgr,rtvpbgp,none
2,finaid,faismgr,rtvpbtp,none
133,finaid,faismgr,rtvpgrp,none
68,finaid,faismgr,rtvphas,none
36,finaid,faismgr,rtvprcd,none
85,finaid,faismgr,rtvptyp,none
1296,finaid,faismgr,rtvrjct,none
4,finaid,faismgr,rtvrpsr,none
